EN URL,ES URL,page type,status,exists EN,exists ES,HTTP EN,HTTP ES,traffic 12m EN,traffic 12m ES,notes
,https://www.fxstreet.es/brokers/brokers-forex,static,ES only,,No,,404,,,ES: Not Found; ES scrap/legacy URL no longer live
,https://www.fxstreet.es/brokers/organismos-reguladores,static,ES only,,No,,404,,,ES: Not Found; ES scrap/legacy URL no longer live
,https://www.fxstreet.es/educacion/*,dynamic,ES only,,,,,,,ES: pattern — no live check
,https://www.fxstreet.es/education/curso-forex,static,ES only,,Sí,,200,,,
,https://www.fxstreet.es/education/curso-forex/*,dynamic,ES only,,,,,,,ES: pattern — no live check
,https://www.fxstreet.es/fundamental/tabla-tipos-interes,static,ES only,,No,,404,,,ES: Not Found; ES scrap/legacy URL no longer live
,https://www.fxstreet.es/mexico,static,ES only,,Sí,,200,,,
,https://www.fxstreet.es/rates-charts/[slug]/chart,dynamic,ES only,,,,,,,ES: pattern — no live check
,https://www.fxstreet.es/rates-charts/chart/station,static,ES only,,Sí,,200,,,
,https://www.fxstreet.es/rates-charts/rates/majors,static,ES only,,Sí,,200,,,
,https://www.fxstreet.es/technical-analysis/support-resistance/pivot-points,static,ES only,,Sí,,200,,,
https://www.fxstreet.com/,https://www.fxstreet.es/,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/[post-sin-vertical],https://www.fxstreet.es/[post-sin-vertical],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/account/additional-data,https://www.fxstreet.es/account/additional-data,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/account/login?uriToRedirect=%2Faccount%2Fadditional-data
https://www.fxstreet.com/account/login,https://www.fxstreet.es/account/login,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/account/manage-password,https://www.fxstreet.es/account/manage-password,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/analysis,https://www.fxstreet.es/analysis,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/analysis/[slug],https://www.fxstreet.es/analysis/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/analysis/feed,https://www.fxstreet.es/analysis/feed,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/analysis/latest,https://www.fxstreet.es/analysis/latest,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/author,https://www.fxstreet.es/author,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/author/[slug],https://www.fxstreet.es/author/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/bonds,https://www.fxstreet.es/bonds,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/brokers,https://www.fxstreet.es/brokers,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/brokers/[slug],https://www.fxstreet.es/brokers/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/brokers/best,https://www.fxstreet.es/brokers/best,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/brokers/best/[slug],https://www.fxstreet.es/brokers/best/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/brokers/prop/[slug],https://www.fxstreet.es/brokers/prop/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/brokers/reviews,https://www.fxstreet.es/brokers/reviews,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/brokers/reviews/[slug],https://www.fxstreet.es/brokers/reviews/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/commodities/[slug],https://www.fxstreet.es/commodities/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/company,https://www.fxstreet.es/company,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/company/[slug],https://www.fxstreet.es/company/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/cryptocurrencies,https://www.fxstreet.es/cryptocurrencies,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/cryptocurrencies/[slug],https://www.fxstreet.es/cryptocurrencies/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/cryptocurrencies/bitcoin,https://www.fxstreet.es/cryptocurrencies/bitcoin,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/cryptocurrencies/cardano,https://www.fxstreet.es/cryptocurrencies/cardano,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/cryptocurrencies/dogecoin,https://www.fxstreet.es/cryptocurrencies/dogecoin,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/cryptocurrencies/ethereum,https://www.fxstreet.es/cryptocurrencies/ethereum,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/cryptocurrencies/news,https://www.fxstreet.es/cryptocurrencies/news,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/cryptocurrencies/news/[slug],https://www.fxstreet.es/cryptocurrencies/news/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/cryptocurrencies/news/feed,https://www.fxstreet.es/cryptocurrencies/news/feed,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/cryptocurrencies/rates-charts,https://www.fxstreet.es/cryptocurrencies/rates-charts,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/rates-charts
https://www.fxstreet.com/cryptocurrencies/ripple,https://www.fxstreet.es/cryptocurrencies/ripple,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/cryptocurrencies/solana,https://www.fxstreet.es/cryptocurrencies/solana,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/currencies/[slug],https://www.fxstreet.es/currencies/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/economic-calendar,https://www.fxstreet.es/calendario-economico,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/economic-calendar/[slug],https://www.fxstreet.es/economic-calendar/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/economic-calendar/country/[id],https://www.fxstreet.es/economic-calendar/country/[id],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/economic-calendar/event/[slug],https://www.fxstreet.es/calendario-economico/event/[guid],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/economic-calendar/event/[slug],https://www.fxstreet.es/economic-calendar/event/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/economic-calendar/forex-market-hours,https://www.fxstreet.es/economic-calendar/forex-market-hours,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/economic-calendar/world-interest-rates,https://www.fxstreet.es/economic-calendar/world-interest-rates,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/education,https://www.fxstreet.es/education,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/education/[slug],https://www.fxstreet.es/education/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/education/feed,https://www.fxstreet.es/education/feed,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/education/latest,https://www.fxstreet.es/education/latest,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/education
https://www.fxstreet.com/events/[slug],https://www.fxstreet.es/events/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/info/about-us,https://www.fxstreet.es/info/about-us,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/info/advertising-and-sponsorship,https://www.fxstreet.es/info/advertising-and-sponsorship,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://editorial.fxsstatic.com/pdfs/fxstreet-media-kit.pdf; ES: redirect→https://editorial.fxsstatic.com/pdfs/fxstreet-media-kit.pdf
https://www.fxstreet.com/info/contact-us,https://www.fxstreet.es/info/contact-us,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/info/corporate-identity,https://www.fxstreet.es/info/corporate-identity,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/info/editorial-guidelines,https://www.fxstreet.es/info/editorial-guidelines,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/info/ethical-code,https://www.fxstreet.es/info/ethical-code,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/info/prevention,https://www.fxstreet.es/info/prevention,static,direct match,Sí,Sí,200,200,,,
